Source,Target,Weight,edge_type,edge_multiplicity
65,69,1,same-persona,1
65,70,1,same-persona,1
65,71,1,same-persona,1
65,72,1,same-persona,1
65,73,1,same-persona,1
65,74,1,same-persona,1
65,75,1,same-persona,1
65,76,1,same-persona,1
66,67,1,same-persona,1
66,49,1,same-persona,1
66,68,1,same-persona,1
66,69,1,same-persona,1
66,70,1,same-persona,1
66,71,1,same-persona,1
66,72,1,same-persona,1
66,73,1,same-persona,1
66,74,1,same-persona,1
66,75,1,same-persona,1
66,76,1,same-persona,1
67,49,1,same-persona,1
67,68,1,same-persona,1
67,69,1,same-persona,1
67,70,1,same-persona,1
67,71,1,same-persona,1
67,72,1,same-persona,1
67,73,1,same-persona,1
67,74,1,same-persona,1
67,75,1,same-persona,1
67,76,1,same-persona,1
49,68,1,same-persona,1
49,69,1,same-persona,1
49,70,1,same-persona,1
49,71,1,same-persona,1
49,72,1,same-persona,1
49,73,1,same-persona,1
49,74,1,same-persona,1
49,75,1,same-persona,1
49,76,1,same-persona,1
68,69,1,same-persona,1
68,70,1,same-persona,1
68,71,1,same-persona,1
68,72,1,same-persona,1
68,73,1,same-persona,1
68,74,1,same-persona,1
68,75,1,same-persona,1
68,76,1,same-persona,1
69,70,1,same-persona,1
69,71,1,same-persona,1
69,72,1,same-persona,1
69,73,1,same-persona,1
69,74,1,same-persona,1
69,75,1,same-persona,1
69,76,1,same-persona,1
70,71,1,same-persona,1
70,72,1,same-persona,1
70,73,1,same-persona,1
70,74,1,same-persona,1
70,75,1,same-persona,1
70,76,1,same-persona,1
71,72,1,same-persona,1
71,73,1,same-persona,1
71,74,1,same-persona,1
71,75,1,same-persona,1
71,76,1,same-persona,1
72,73,1,same-persona,1
72,74,1,same-persona,1
72,75,1,same-persona,1
72,76,1,same-persona,1
73,74,1,same-persona,1
73,75,1,same-persona,1
73,76,1,same-persona,1
74,75,1,same-persona,1
74,76,1,same-persona,1
75,76,1,same-persona,1
